Song,URL
The Theory of Sound Jeremy J. Saks,https://www.youtube.com/watch?v=iErBvuki7aI
I Wanna Keep Yr Dog illuminati hotties,https://www.youtube.com/watch?v=dxeaYd865J4
The Passenger Siouxsie and the Banshees,https://www.youtube.com/watch?v=4nAON-MwUPY
HNDI Sasha,https://www.youtube.com/watch?v=AQrGAioDYAQ
Promise Jacques Greene,https://www.youtube.com/watch?v=PA0b4B6MqwY
Koko Karen Nyame KG,https://www.youtube.com/watch?v=KuFt7gyiRxE
The Middle Jimmy Eat World,https://www.youtube.com/watch?v=oKsxPW6i3pM
Where's My Brain??? - Edit The Lazy Eyes,https://www.youtube.com/watch?v=X_bm6gKaidI
Rebellion (Lies) Arcade Fire,https://www.youtube.com/watch?v=8vN2vqaEBhM
Mayday Michael Peter Olsen,https://www.youtube.com/watch?v=vfYoNoVtlk0
Karma Police Radiohead,https://www.youtube.com/watch?v=1uYWYWPc9HU
Leyla Altin Gün,https://www.youtube.com/watch?v=Ay-soJ66dew
Til It Breaks Ashley Monroe,https://www.youtube.com/watch?v=ckTcQUQst50
basketball diveliner,https://www.youtube.com/watch?v=mJokMzaigh0
Vertigo U2,https://www.youtube.com/watch?v=98W9QuMq-2k
Write It In Red Alan Jackson,https://www.youtube.com/watch?v=SyNPUqRMrQw
Egyptian Shumba The Tammys,https://www.youtube.com/watch?v=Er8PN385PEA
Get Sun (feat. Arthur Verocai) - Pocket Size Radio Edit Hiatus Kaiyote,https://www.youtube.com/watch?v=0lGSL3Kh0YI
Blister In The Sun Violent Femmes,https://www.youtube.com/watch?v=JE-dqW4uBEE
Nothing The Catheters,https://www.youtube.com/watch?v=3KRF8TFhj70
Golden Skans Klaxons,https://www.youtube.com/watch?v=q-SJjFcnsGs
Joy Falana,https://www.youtube.com/watch?v=aeljectRAh8
Oh Canada Nadia Reid,https://www.youtube.com/watch?v=AEezVTnGuZE
Stonechild Friendship Commanders,https://www.youtube.com/watch?v=cMFMWPGccUM
Popular Nada Surf,https://www.youtube.com/watch?v=hAFuD-S-e_E
Sweeter Than Sugar Harmony Byrne,https://www.youtube.com/watch?v=yop0nb5tKYU
Boilermaker Royal Blood,https://www.youtube.com/watch?v=FoDNFsQGDjE
Love Ben Lukas Boysen,https://www.youtube.com/watch?v=j7usC68u6kk
Another Girl Another Planet The Only Ones,https://www.youtube.com/watch?v=lKuc3faQAEs
How Lucky Kurt Vile,https://www.youtube.com/watch?v=TNDmIrh1Cwo
2 Cool Misha,https://www.youtube.com/watch?v=aXh7raNq9QM
Seven Into The Sea In Tua Nua,https://www.youtube.com/watch?v=4FtxrqOBKYU
Heavy Soul David Shaw,https://www.youtube.com/watch?v=xM9M0sGm9L0
Alive Pearl Jam,https://www.youtube.com/watch?v=qM0zINtulhM
Punching Up Flasher,https://www.youtube.com/watch?v=DJ8DAEK8uuY
A Bit Patchy Switch,https://www.youtube.com/watch?v=vqBeK-ewrOI
Press Enter To Exit The Horrors,https://www.youtube.com/watch?v=M-4Bp8Zx150
October Annelie,https://www.youtube.com/watch?v=wYV8Q0bREu4
Coke Nose Caspr,https://www.youtube.com/watch?v=OZlbI6qSRK8
